relpath,category,detail
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备模型——蒙特卡洛模型和代码\马尔科夫链蒙特卡洛模拟的matlab源代码【数学建模老哥】.rar,normal,普通资料包（28 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——0-1整数规划\0-1整数规划的MATLAB源码.zip,normal,普通资料包（2 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——0-1整数规划\0-1规划的两种求解（模拟退火及Lingo求解）.rar,normal,普通资料包（10 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——二次规划\二次规划Matlab程序.rar,normal,普通资料包（1 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——二次规划\序列二次规划法及matlab代码.zip,normal,普通资料包（15 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——动态规划\动态规划解决背包问题 MATLAB.zip,normal,普通资料包（3 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——单目标规划与多目标规划\单目标优化（含约束）.zip,normal,普通资料包（2 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——整数规划\整数规划：分支定界算法代码.zip,normal,普通资料包（4 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——整数规划\整数规划：割平面算法代码.zip,normal,普通资料包（2 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——模拟退火算法\模拟退火工具箱satools.zip,normal,普通资料包（90 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——模拟退火算法\模拟退火算法.rar,normal,普通资料包（6 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——模拟退火算法\模拟退火算法的matlab示例.zip,normal,普通资料包（20 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——粒子群算法\粒子群算法优化RBF网络.rar,normal,普通资料包（7 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——线性规划模型\01型整数线性规划.zip,normal,普通资料包（7 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——线性规划模型\线性规划.rar,normal,普通资料包（8 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——遗传算法\基于 python 实现的遗传算法解决旅行商（TSP）问题.zip,normal,普通资料包（34 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——随机规划\基于遗传算法的随机规划（matlab）.zip,normal,普通资料包（10 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——非线性规划\第6讲 非线性规划.rar,normal,普通资料包（17 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——非线性规划\非线性规划.rar,normal,普通资料包（17 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备分类模型——决策树分类及代码\数学建模-决策树的预测模型的Python实现.rar,normal,普通资料包（4 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——topsis模型\TOPSIS模型具体步骤及代码.zip,normal,普通资料包（8 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——主成分分析法\pca主成分分析.zip,normal,普通资料包（12 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——主成分分析法\主成分分析法步骤，例子.rar,normal,普通资料包（1 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——主成分分析法\主成分分析法的MATLAB代码实现.zip,normal,普通资料包（4 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——因子分析法\因子分析法MATLAB程序.rar,normal,普通资料包（1 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——层次分析法\层次分析法建模.rar,normal,普通资料包（1 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——模糊综合评价\模糊综合评价富营养化评价.rar,normal,普通资料包（2 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——灰色关联分析法\最容易掌握灰色关联分析法的教程.zip,normal,普通资料包（1 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——灰色关联分析法\灰色关联分析法MATLAB实现.zip,normal,普通资料包（7 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——神经网络算法\神经网络算法MATLAB程序.rar,normal,普通资料包（12 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——神经网络算法\神经网络详细的预测内容.zip,normal,普通资料包（2 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——神经网络算法\神经网络预测.zip,normal,普通资料包（2 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备预测模型——Logistic模型\Logistic回归模型.zip,normal,普通资料包（3 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备预测模型——LSTM模型\LSTM时间序列神经网络预测MATLAB代码.zip,normal,普通资料包（1 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备预测模型——LSTM模型\时间序列预测（LSTM模型）python代码实现.zip,normal,普通资料包（18 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备预测模型——回归分析\Matlab的回归分析.rar,normal,普通资料包（9 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备预测模型——灰色预测模型\灰色预测.rar,normal,普通资料包（1 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备预测模型——灰色预测模型\灰色预测的MATLAB代码实现.zip,normal,普通资料包（3 条目，无可执行文件）
