层级,问,维度号,维度,检查点号,检查点,判定,证据类型,证据指针,扣分下限,扣分上限,备注
P,全题,8,模型评价与优缺点分析,8.2,不足诚实具体,✅,,,0.0,0.0,H10外推43%–66%如实声明
P,全题,8,模型评价与优缺点分析,8.3,改进方向对应,✅,,,0.0,0.0,
P,全题,8,模型评价与优缺点分析,8.4,推广性分析,✅,,,0.0,0.0,适用范围与限制
P,全题,8,模型评价与优缺点分析,8.5,客观不夸大,✅,,,0.0,0.0,"无""完美""类表述"
P,全题,8,模型评价与优缺点分析,8.6,独立评价章节,✅,,,0.0,0.0,模型评价与改进独立成篇
P,全题,8,模型评价与优缺点分析,8.7,评价有对比,✅,,,0.0,0.0,与基准/机构对照
P,全题,8,模型评价与优缺点分析,8.8,局限性说明,✅,,,0.0,0.0,H3/H10/H13等局限逐条
Q,全题,9,创新点打造与差异化,9.1,改进点明确列出,✅,,,0.0,0.0,创新项汇总按问编号
Q,全题,9,创新点打造与差异化,9.2,"用""改进""不用""创新""",✅,E-E,50_论文/01_写作计划/A_写作口径与用语约定.md:9-22,0.0,0.0,【v2】A-03：用语口径已定（改进）＋禁用/应写对照表 ⟹ 素材齐备（判据＝写作侧素材齐备性）
Q,全题,9,创新点打造与差异化,9.3,算法改进类,🏆,,,0.0,0.0,45%国奖创新类型：积分平均/预估-校正/事件二分
Q,全题,9,创新点打造与差异化,9.4,问题特化策略类,✅,,,0.0,0.0,物料坐标/守恒形式
Q,全题,9,创新点打造与差异化,9.5,跨领域迁移类,✅,,,0.0,0.0,跨领域引入IMEX/预估校正
Q,全题,9,创新点打造与差异化,9.6,多模型融合类,⚠️,E-E,50_论文/01_写作计划/A_写作口径与用语约定.md:24-40,0.0,0.0,【v2】A-04 已备定位说明（单一机理模型四问递进）⟹ 降低被误判为缺失的风险；但「未做多模型融合」这一事实不变 ⟹ 保守维持 ⚠️
Q,全题,9,创新点打造与差异化,9.7,改进具体,✅,,,0.0,0.0,
Q,全题,9,创新点打造与差异化,9.8,改进有依据,✅,,,0.0,0.0,
Q,全题,9,创新点打造与差异化,9.9,改进有效果,✅,,,0.0,0.0,效果量化到结论变化
Q,全题,9,创新点打造与差异化,9.10,不是伪创新,✅,,,0.0,0.0,无伪创新
B,全题,10,数据预处理与特征工程,10.1,数据质量审计,✅,,,0.0,0.0,缺失0/空白0/等步长/3σ
B,全题,10,数据预处理与特征工程,10.2,缺失值处理策略,✅,,,0.0,0.0,无缺失，策略已说明
B,全题,10,数据预处理与特征工程,10.3,异常值区分处理,✅,,,0.0,0.0,附件2离群点为真实收缩，保留
B,全题,10,数据预处理与特征工程,10.4,特征工程,∅,,,0.0,0.0,机理题无特征工程
B,全题,10,数据预处理与特征工程,10.5,探索性数据分析,✅,,,0.0,0.0,附件1/2分布与时序分析
B,全题,10,数据预处理与特征工程,10.6,数据处理说明,✅,,,0.0,0.0,预处理流程量化
B,全题,10,数据预处理与特征工程,10.7,数据可视化,✅,,,0.0,0.0,环境时序等图数据齐
B,全题,10,数据预处理与特征工程,10.8,特征选择合理,∅,,,0.0,0.0,机理题无特征选择
P,全题,11,参考文献引用规范,11.1,参考文献数量,✅,E-E,20_交付包/07_引用与术语/A_题录表.md §三,0.0,0.0,【v2】A-02 逐条核验：题录 A 级 18 条（全文在手或 DOI/Crossref 核验）⟹ 数量满足 10–20 区间
P,全题,11,参考文献引用规范,11.2,参考文献格式,◻,,,0.0,0.0,题录格式属成稿
P,全题,11,参考文献引用规范,11.3,文献时效性,✅,E-E,20_交付包/07_引用与术语/A_题录表.md §三,0.0,0.0,【v2】A-02：含 2019–2024 文献 ⟹ 时效性满足
P,全题,11,参考文献引用规范,11.4,文内引用对应,◻,,,0.0,0.0,文内对应属成稿
P,全题,11,参考文献引用规范,11.5,引用位置合理,◻,,,0.0,0.0,引用位置属成稿
P,全题,11,参考文献引用规范,11.6,文献质量,✅,,,0.0,0.0,含SIAM/TiPM/农业工程学报等SCI·EI·核心期刊
P,全题,12,附录与代码可复现性,12.1,附录内容丰富,✅,E-E,20_交付包/11_支撑材料包/A_支撑材料文件列表.md §1.3e,0.0,0.0,【v2】A-10 双向回验：清单 ↔ code/ 实况 0 缺口（补登 Q2 创新链脚本 11 项）
P,全题,12,附录与代码可复现性,12.2,求解结果附录,✅,,,0.0,0.0,result1–4＋CSV镜像
P,全题,12,附录与代码可复现性,12.3,补充图表附录,✅,,,0.0,0.0,参考图38图/76件+F-44–F-50
P,全题,12,附录与代码可复现性,12.4,代码完整可运行,✅,,,0.0,0.0,四问code/完整且跑通
P,全题,12,附录与代码可复现性,12.5,代码有注释,✅,,,0.0,0.0,关键步骤注释
P,全题,12,附录与代码可复现性,12.6,可复现性,✅,E-D,temp/_c03_selfcheck_report_v2.txt,0.0,0.0,【v2】C-03 门禁复核：文件↔现码、文件↔求解记录逐格一致（详见 12.7）
P,全题,12,附录与代码可复现性,12.7,代码与论文一致,✅,E-D,temp/_c03_selfcheck_report_v2.txt,0.0,0.0,【v2】C-03 交付前门禁：合计 0/280 不一致（Q1 温度 0/35、水分 0/35、文档 0/35；Q2 0/30、0/30、0/12、0/12）⟹ 三源（文件／文档／现码）完全一致
P,全题,12,附录与代码可复现性,12.8,附录编号规范,◻,,,0.0,0.0,附录编号属成稿
P,全题,13,论文格式与排版规范,13.1,页面设置,◻,,,0.0,0.0,
P,全题,13,论文格式与排版规范,13.2,字体字号统一,◻,,,0.0,0.0,
P,全题,13,论文格式与排版规范,13.3,行距统一,◻,,,0.0,0.0,
P,全题,13,论文格式与排版规范,13.4,页码页眉,◻,,,0.0,0.0,
P,全题,13,论文格式与排版规范,13.5,不写目录,◻,,,0.0,0.0,
P,全题,13,论文格式与排版规范,13.6,错别字,◻,,,0.0,0.0,
P,全题,13,论文格式与排版规范,13.7,公式编号右对齐,◻,,,0.0,0.0,
P,全题,13,论文格式与排版规范,13.8,图表按章节编号,◻,,,0.0,0.0,
P,全题,13,论文格式与排版规范,13.9,无空白页,◻,,,0.0,0.0,
P,全题,13,论文格式与排版规范,13.10,页数标准,◻,,,0.0,0.0,
P,全题,14,选题策略与赛题理解,14.1,题目理解准确,✅,,,0.0,0.0,口径台账＋裁定记录
P,全题,14,选题策略与赛题理解,14.2,各小问完整回答,✅,,,0.0,0.0,四问全覆盖
P,全题,14,选题策略与赛题理解,14.3,题目类型判断,✅,,,0.0,0.0,A机理分析类
P,全题,14,选题策略与赛题理解,14.4,题目背景结合,✅,,,0.0,0.0,附件1/2实测＋题面附录分套
P,全题,14,选题策略与赛题理解,14.5,题目难点把握,✅,,,0.0,0.0,移动边界/变物性/长时程
P,全题,15,论文合规与原创性检测,15.1,查重率,◻,,,0.0,0.0,查重需成稿
P,全题,15,论文合规与原创性检测,15.2,AI使用说明,✅,,,0.0,0.0,AI登记JSON＋声明模板就位
P,全题,15,论文合规与原创性检测,15.3,AI痕迹,◻,,,0.0,0.0,需成稿
P,全题,15,论文合规与原创性检测,15.4,数据真实,✅,,,0.0,0.0,数据全部源自题目附件
P,全题,15,论文合规与原创性检测,15.5,学术诚信,✅,,,0.0,0.0,零外部本题引用(题录红线)
P,全题,15,论文合规与原创性检测,15.6,人味浓度,◻,,,0.0,0.0,需成稿
P,全题,16,整体印象与获奖潜力,16.1,第一印象,◻,,,0.0,0.0,前3页属成稿
P,全题,16,整体印象与获奖潜力,16.2,工作量饱满,🏆,E-E,A_升级计划清单.md §八,0.0,0.0,【v2】28 创新项／107 脚本／50 图／51 卡／10+ 项检验（A 类 15 项落地后口径）
P,全题,16,整体印象与获奖潜力,16.3,逻辑闭环,✅,,,0.0,0.0,问题→检验→评价闭环
P,全题,16,整体印象与获奖潜力,16.4,亮点突出,🏆,,,0.0,0.0,精确推进/物料坐标/守恒双保险
P,全题,16,整体印象与获奖潜力,16.5,专业术语准确,✅,,,0.0,0.0,术语表13项统一定名
P,全题,16,整体印象与获奖潜力,16.6,问题特化策略,🏆,,,0.0,0.0,问题特化策略成体系
P,全题,16,整体印象与获奖潜力,16.7,算法改进深度,🏆,,,0.0,0.0,改进有依据有效果
P,全题,16,整体印象与获奖潜力,16.8,国奖级综合判断,✅,,,0.0,0.0,综合判断见报告
