维度,编号,检查点,判定,证据指针
10,10.7,"数据可视化【国奖级】",✅,"图 03／04／12（环境时序、收缩曲线、数据预处理对照）"
10,10.8,"特征选择合理",∅,"同上（无特征选择环节）"
11,11.1,"参考文献数量",✅,"A_13 实测 18 条（S3：10–20 篇）"
11,11.2,"参考文献格式",🏆,"GB/T 7714 著录（[J]/[M] 类型标注），编号与正文上标双向一致"
11,11.3,"文献时效性",⚠️,"文中出现 2022–2026 年号仅 4 处 ⟹ 近 5 年占比未达'≥50%'口径"
11,11.4,"文内引用对应",✅,"\cite/\upcite 28 次；正文引用与文后列表双向核对一致"
11,11.5,"引用位置合理",✅,"引用分散在方法/参数/口径处，非集中堆砌"
11,11.6,"文献质量【国奖级】",✅,"以期刊论文（[J]）为主，含领域经典"
12,12.1,"附录内容丰富【国奖级】",🏆,"附录 102 页：A 支撑材料清单＋B 源程序（14 处嵌入）＋C 关键中间结果"
12,12.2,"求解结果附录【国奖级】",✅,"附录 C＋表 A-1 逐项登记（158 编号项）"
12,12.3,"补充图表附录【国奖级】",✅,"附录 C 关键中间结果与图示说明"
12,12.4,"代码完整可运行",🏆,"附录 B：14 个关键程序全文嵌入＋B.13 清单 118 项；全文随支撑材料"
12,12.5,"代码有注释",✅,"模块头注释／推导出处／变量说明"
12,12.6,"可复现性",✅,"脚本链可复跑；确定性推进无随机项；环境与数据随支撑材料"
12,12.7,"代码与论文一致",✅,"口径表与 result*.xlsx 逐格核对；附录嵌入即交付核"
12,12.8,"附录编号规范",✅,"附录 A／B／C 分节，节内表 A-n／B-n"
13,13.1,"页面设置",✅,"A4；preamble 统一设定页边距"
13,13.2,"字体字号统一",✅,"ctexart 统一设定正文宋体／标题黑体"
13,13.3,"行距统一",✅,"linespread 统一（类选项）"
13,13.4,"页码页眉",✅,"页码连续（全文 131 页单一序列）"
13,13.5,"不写目录【国赛官方】",✅,"全篇无 \tableofcontents（摘要页直接起正文）"
13,13.6,"错别字",✅,"排版件机检无异常"
13,13.7,"公式编号右对齐",✅,"equation 环境自动右对齐编号"
13,13.8,"图表按章节编号",✅,"图 5-x／A-x；表 1–6 与表 4-1／5-x 按章编号"
13,13.9,"无空白页",✅,"main.log 实测 Overfull \hbox=0、\vbox=0、Float too large=0"
13,13.10,"页数标准【国赛官方】",🏆,"实测正文 29 页（25–30 理想区间，≤30 合规）"
14,14.1,"题目理解准确",✅,"01/02 章对齐题面四问（附件 1/2、附录 2/3/4 口径）"
14,14.2,"各小问完整回答",✅,"四问全部作答（含表 1–6 强制表与达标时刻）"
14,14.3,"题目类型判断",✅,"判为 A 机理型并采用守恒型机理模型（未误判为优化/数据类）"
14,14.4,"题目背景结合【国奖级】",✅,"药材干燥产地加工背景贯穿（含水率阈值与工艺含义）"
14,14.5,"题目难点把握【国奖级】",✅,"抓住低含水率端与移动边界两大难点并专项处理"
15,15.1,"查重率",⬜,"无查重实测（未见查重报告）"
15,15.2,"AI使用说明",✅,"sections/08_AI工具使用声明.tex（位置在参考文献之前）"
15,15.3,"AI痕迹【国奖级】",✅,"数值密集（摘要 31 处小数）、无模板化空话"
15,15.4,"数据真实",✅,"结果与 result*.xlsx／口径表逐格一致（附录 A 逐项登记）"
15,15.5,"学术诚信",✅,"kb 零外部本题引用；论文未引库内第三方内容"
15,15.6,"人味浓度【国奖级】",⚠️,"第一人称判断表述实测 0 处（全篇以客观陈述为主，句式高度规整）"
16,16.1,"第一印象【国奖级】",✅,"摘要单页＋数值密集＋图表专业（首 3 页规范）"
16,16.2,"工作量饱满【国奖级】",🏆,"正文 29 页＋附录 102 页；十类检验；图 15／表 13"
16,16.3,"逻辑闭环",✅,"问题→分析→假设→建模→求解→检验→评价全链闭合"
16,16.4,"亮点突出【国奖级】",🏆,"亮点：时间离散误差归零＋事件驱动反演＋十类检验＋移动边界守恒形式"
16,16.5,"专业术语准确【国奖级】",✅,"术语与口径表统一（干基含水率／物料坐标／毕奥数）"
16,16.6,"问题特化策略【国奖级】",✅,"同 9.4"
16,16.7,"算法改进深度【国奖级】",✅,"同 9.3"
16,16.8,"国奖级综合判断【国奖级】",✅,"见报告 §6 档位判定（🏆32 ≥30、⚠️≤15、❌=0 ⟹ 国奖潜力）"
