层级,问,维度号,维度,检查点号,检查点,判定,证据类型,证据指针,扣分下限,扣分上限,备注
B,全题(取各问最差),4,模型建立,4.3,定解条件（初值/中心对称/第三类边界）,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:112-118,0.05,0.10,式 (5-3)–(5-5)
B,全题(取各问最差),4,模型建立,4.4,边界条件方向自检,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:118,0.05,0.10,
B,全题(取各问最差),4,模型建立,4.5,中心奇点半格处理与两条独立装配路径,🏆,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:122,0.00,0.00,两路差 2.8e-14 K
B,全题(取各问最差),4,模型建立,4.6,元体平衡守恒性论证（内部通量抵消）,🏆,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:75,0.00,0.00,
B,全题(取各问最差),4,模型建立,4.7,M 矩阵与离散极值原理,🏆,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:75,0.00,0.00,理论先于断言
B,全题(取各问最差),4,模型建立,4.8,温度场常系数线性系统与闭式积分,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:124-134,0.05,0.10,式 (5-6)(5-7)
B,全题(取各问最差),4,模型建立,4.9,界面系数积分平均由通量守恒推出,🏆,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:237-243,0.00,0.00,式 (5-9)
B,全题(取各问最差),4,模型建立,4.10,物料坐标变换＋守恒形式能量方程,🏆,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:392-398,0.00,0.00,式 (5-11)(5-12)
B,全题(取各问最差),4,模型建立,4.11,几何压缩项来源说明,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:404,0.05,0.10,
B,全题(取各问最差),4,模型建立,4.12,仿射收缩与质量方程干基形式,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:396,0.05,0.10,
B,全题(取各问最差),4,模型建立,4.13,公式编号连续且无悬空引用,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:12,0.05,0.10,(5-1)–(5-13)
B,全题(取各问最差),4,模型建立,4.14,推导不跳步、关键式有编号,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:106-140,0.05,0.10,
B,全题(取各问最差),4,模型建立,4.15,术语一致（杜哈梅尔等）与口径统一,✅,E-E,50_论文/02_章节稿/成文/A_11_模型评价与改进.md:43,0.05,0.10,【复核轮已修复】A_11 已改为“分段线性杜哈梅尔积分”，与摘要／符号表／检验章同形
Q,Q1–Q4,5,算法选择与模型求解,5.1,空间网格规模与输出点对齐,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:122,0.04,0.08,N=80 / 160
Q,Q1–Q4,5,算法选择与模型求解,5.2,时间格式分问分场及理由,🏆,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:75,134,0.00,0.00,常系数→闭式；余者后向欧拉
Q,Q1–Q4,5,算法选择与模型求解,5.3,迭代格式与欠松弛因子,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:138,0.04,0.08,ω=0.7
Q,Q1–Q4,5,算法选择与模型求解,5.4,迭代容限与收敛性依据,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:245,0.04,0.08,tol=1e-10＋文献[11]
Q,Q1–Q4,5,算法选择与模型求解,5.5,三对角严格对角占优与追赶法稳定性,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:140,0.04,0.08,代数前提已交代
Q,Q1–Q4,5,算法选择与模型求解,5.6,事件驱动终止与子步级二分定位,🏆,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:313-317,0.00,0.00,精度 1e-3 s
Q,Q1–Q4,5,算法选择与模型求解,5.7,移动边界预估–校正,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:408,0.04,0.08,不做校正滞后 O(1 K)
Q,Q1–Q4,5,算法选择与模型求解,5.8,参数取值说明（h、km、物性套别）,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:118,0.04,0.08,
Q,Q1–Q4,5,算法选择与模型求解,5.9,算法选型对照表,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:77-86,0.04,0.08,表 5-1
Q,Q1–Q4,5,算法选择与模型求解,5.10,可复现性与性能等价性,⚠️,E-D,40_复核/01_复核记录/A_跨平台复现核验报告.md:29-32,72-92,0.21,0.42,【复核轮已修代码、待重跑验证】7 个 Q4 脚本已补 os.makedirs(日志目录)；验证需重跑（升 T2，本轮未授权）
B,全题(取各问最差),6,结果分析与数据可视化,6.1,题面六表行列照模板,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:146-426,0.04,0.08,行次/列次/单位一致
B,全题(取各问最差),6,结果分析与数据可视化,6.2,表值与结果文件逐格一致,✅,E-B,40_复核/01_复核记录/A_跨平台复现核验报告.md:41-46,0.04,0.08,result1/3/4 逐格一致；result2 0.022% 末位差
B,全题(取各问最差),6,结果分析与数据可视化,6.3,结果带误差带与不确定度,✅,E-A,50_论文/02_章节稿/成文/A_09_结果分析.md:69-76,0.04,0.08,表 5-4
B,全题(取各问最差),6,结果分析与数据可视化,6.4,规律归纳并与机理互证,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:182-190,0.04,0.08,
B,全题(取各问最差),6,结果分析与数据可视化,6.5,每图每表有引用句＋解释句,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:174-180,0.04,0.08,
B,全题(取各问最差),6,结果分析与数据可视化,6.6,图数据/规格卡/成品图三方一致,✅,E-C,30_图表/05_交付清单/图表残留问题-针对论文版.md:19,120,0.04,0.08,v4 已把 4 个 CSV 追平真源
B,全题(取各问最差),6,结果分析与数据可视化,6.7,图件展示层残留（图内字体/英文缩写）,⚠️,E-C,30_图表/05_交付清单/图表残留问题-针对论文版.md:29-35,0.21,0.42,【复核轮实测】F-11 的 vs 已闭合（图09 拉丁 token 仅 mm）；F-01 仍为思源宋体（与全篇黑体不一致）、图17 含 TR/CR、图29 含 CR；均属绘图方“只改图上文字”
B,全题(取各问最差),6,结果分析与数据可视化,6.8,图表数量与信息密度,⚠️,E-C,30_图表/05_交付清单/图表残留问题-针对论文版.md:99,0.21,0.42,正文 14 图＋13 表＝27 件，超 kb 建议区间 15–25
B,全题(取各问最差),6,结果分析与数据可视化,6.9,跨问结果一致性（重叠段/退化一致）,🏆,E-B,50_论文/02_章节稿/成文/A_09_结果分析.md:59,0.00,0.00,逐位一致＋退化一致 3.7e-8
B,全题(取各问最差),6,结果分析与数据可视化,6.10,关键现象可视化（压缩温升/长时程）,🏆,E-C,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:443-447,0.00,0.00,图 5-20 与图 5-16
B,全题(取各问最差),7,模型检验与灵敏度分析,7.1,检验类别数 ≥3 且独立成章,🏆,E-E,50_论文/02_章节稿/成文/A_10_模型检验.md:45,0.00,0.00,十一类，全部给量值
B,全题(取各问最差),7,模型检验与灵敏度分析,7.2,网格与时间收敛性＋观测阶,✅,E-E,50_论文/02_章节稿/成文/A_10_模型检验.md:49-63,0.04,0.08,空间二阶；时间已消除
B,全题(取各问最差),7,模型检验与灵敏度分析,7.3,离散误差带（GCI/保守上界）,✅,E-E,50_论文/02_章节稿/成文/A_10_模型检验.md:51,63,0.04,0.08,±0.08 h / ±0.0249 h
B,全题(取各问最差),7,模型检验与灵敏度分析,7.4,解析解对拍,✅,E-E,50_论文/02_章节稿/成文/A_10_模型检验.md:75-85,0.04,0.08,残差随网格二阶下降
B,全题(取各问最差),7,模型检验与灵敏度分析,7.5,独立实现互验,✅,E-E,50_论文/02_章节稿/成文/A_10_模型检验.md:87-93,0.04,0.08,口径预对齐后只反映格式差
B,全题(取各问最差),7,模型检验与灵敏度分析,7.6,物理自检与看门狗断言,✅,E-E,50_论文/02_章节稿/成文/A_10_模型检验.md:95-101,0.04,0.08,含人为注错演示
B,全题(取各问最差),7,模型检验与灵敏度分析,7.7,守恒性核算（质量＋能量）,🏆,E-E,50_论文/02_章节稿/成文/A_10_模型检验.md:103-119,0.00,0.00,残差 1e-4～1e-2 且未系统性增长
B,全题(取各问最差),7,模型检验与灵敏度分析,7.8,局部（单因素）灵敏度,✅,E-E,50_论文/02_章节稿/成文/A_10_模型检验.md:121-127,0.04,0.08,±20%/±5%/±1 ℃
B,全题(取各问最差),7,模型检验与灵敏度分析,7.9,全局灵敏度（两族方法）,🏆,E-E,50_论文/02_章节稿/成文/A_10_模型检验.md:129-135,0.00,0.00,筛选＋方差分解；低 C 端为第一主导
B,全题(取各问最差),7,模型检验与灵敏度分析,7.10,简化代价对照（潜热/平滑）,✅,E-E,50_论文/02_章节稿/成文/A_10_模型检验.md:137-151,0.04,0.08,0.07–0.10 ℃；≤1.08e-2 ℃
B,全题(取各问最差),7,模型检验与灵敏度分析,7.11,判据敏感度与低 C 端外推不确定度,✅,E-E,50_论文/02_章节稿/成文/A_10_模型检验.md:153-163,0.04,0.08,43%–66% / 16.8%–55.1%
B,全题(取各问最差),7,模型检验与灵敏度分析,7.12,输入不确定度与数据同化；误差带合成口径,✅,E-E,50_论文/02_章节稿/成文/A_10_模型检验.md:165-171,0.04,0.08,两路独立路线方向一致
P,全题,8,模型评价与优缺点分析,8.1,优点条数且带数据,✅,E-E,50_论文/02_章节稿/成文/A_11_模型评价与改进.md:41-47,0.05,0.10,4 条，各带数值
P,全题,8,模型评价与优缺点分析,8.2,优点多于不足,✅,E-E,50_论文/02_章节稿/成文/A_11_模型评价与改进.md:11,0.05,0.10,4 优 3 不足
P,全题,8,模型评价与优缺点分析,8.3,不足诚实且紧跟改进方向,✅,E-E,50_论文/02_章节稿/成文/A_11_模型评价与改进.md:53-63,0.05,0.10,3 条成对
P,全题,8,模型评价与优缺点分析,8.4,无虚假声明（未做即声明未做）,🏆,E-E,50_论文/02_章节稿/成文/A_11_模型评价与改进.md:59,0.00,0.00,非均匀收缩对照明示“未做”
P,全题,8,模型评价与优缺点分析,8.5,用语用“改进”不用“创新”,✅,E-E,50_论文/02_章节稿/成文/A_11_模型评价与改进.md:8,0.05,0.10,
P,全题,8,模型评价与优缺点分析,8.6,与假设/检验章同口径,✅,E-E,50_论文/02_章节稿/成文/A_11_模型评价与改进.md:93,0.05,0.10,
P,全题,8,模型评价与优缺点分析,8.7,推广性与迁移调整项,✅,E-E,50_论文/02_章节稿/成文/A_11_模型评价与改进.md:67-69,0.05,0.10,四项迁移调整
P,全题,8,模型评价与优缺点分析,8.8,局限与结论适用边界呼应,✅,E-E,50_论文/02_章节稿/成文/A_11_模型评价与改进.md:61,0.05,0.10,
Q,Q1–Q4,9,创新点打造与差异化,9.1,时间方向精确推进（时间离散误差归零）,🏆,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:124-134,0.00,0.00,步长 1 s vs 60 s 差 3.1e-11 ℃
Q,Q1–Q4,9,创新点打造与差异化,9.2,事件驱动＋子步级二分定位达标时刻,🏆,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:313,0.00,0.00,10^-3 s
Q,Q1–Q4,9,创新点打造与差异化,9.3,物料坐标＋守恒形式能量方程,🏆,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:392-398,0.00,0.00,揭示压缩温升
Q,Q1–Q4,9,创新点打造与差异化,9.4,中心奇点双路互证,🏆,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:122,0.00,0.00,最易错处交叉确认
Q,Q1–Q4,9,创新点打造与差异化,9.5,界面变系数积分平均,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:239,0.05,0.10,调和平均仅作对照臂
Q,Q1–Q4,9,创新点打造与差异化,9.6,误差三步溯源与对照实验族自建定位,✅,E-E,50_论文/02_章节稿/成文/A_10_模型检验.md:45,0.05,0.10,
Q,Q1–Q4,9,创新点打造与差异化,9.7,创新点量化齐备（非仅工作量）,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:479,0.05,0.10,
Q,Q1–Q4,9,创新点打造与差异化,9.8,真创新非伪创新（未堆砌高级模型）,✅,E-E,50_论文/02_章节稿/成文/A_11_模型评价与改进.md:49,0.05,0.10,单一机理模型定位声明
Q,Q1–Q4,9,创新点打造与差异化,9.9,创新与结果/检验互证,✅,E-E,50_论文/02_章节稿/成文/A_09_结果分析.md:63,0.05,0.10,
Q,Q1–Q4,9,创新点打造与差异化,9.10,创新表述合规（不用绝对化）,✅,E-E,50_论文/02_章节稿/成文/A_11_模型评价与改进.md:8,0.05,0.10,
B,全题(取各问最差),10,数据预处理与特征工程,10.1,附件数据点位数/缺失/离群核查,✅,E-D,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:102,0.04,0.08,241 点、缺失 0、3σ 离群 0
B,全题(取各问最差),10,数据预处理与特征工程,10.2,插值口径与平滑对照,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:102,0.04,0.08,≤1.08e-2 ℃
B,全题(取各问最差),10,数据预处理与特征工程,10.3,外推口径声明（末段实测均值）,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:231,0.04,0.08,50.00 ℃ / 0.04999
B,全题(取各问最差),10,数据预处理与特征工程,10.4,半径时序插值与常值外推,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:386,0.04,0.08,145 点，259200 s 后 1.198 cm
B,全题(取各问最差),10,数据预处理与特征工程,10.5,单位与热力学温度 K 代入声明,✅,E-E,50_论文/02_章节稿/成文/A_07_符号说明.md:64,0.04,0.08,
B,全题(取各问最差),10,数据预处理与特征工程,10.6,越界距离列留空口径,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:428,0.04,0.08,
B,全题(取各问最差),10,数据预处理与特征工程,10.7,数据交叉印证（量级自洽）,✅,E-A,20_交付包/05_数值口径总表/A_数值口径总表.md:150-154,0.04,0.08,半径稳定与达标同量级
B,全题(取各问最差),10,数据预处理与特征工程,10.8,预处理与质量核查脚本留证,✅,E-D,50_论文/02_章节稿/成文/A_14_附录.md:63,0.04,0.08,dq_check.py 等
P,全题,11,参考文献引用规范,11.1,条数落在 10–20 区间,✅,E-E,50_论文/02_章节稿/成文/A_13_参考文献.md:76-110,0.05,0.10,A 级 18 条
P,全题,11,参考文献引用规范,11.2,GB/T 7714 著录格式,✅,E-E,50_论文/02_章节稿/成文/A_13_参考文献.md:76-110,0.05,0.10,专著/期刊/教学资料分标
P,全题,11,参考文献引用规范,11.3,无虚构、来源可核验,✅,E-E,20_交付包/07_引用与术语/A_题录表.md:88-105,0.05,0.10,Crossref/出版商元数据核验留痕
P,全题,11,参考文献引用规范,11.4,正文上标 ↔ 列表双向一致,✅,E-E,50_论文/02_章节稿/成文/A_13_参考文献.md:130,0.05,0.10,无列而不引
P,全题,11,参考文献引用规范,11.5,字段完整性（页码/出版年）,⚠️,E-E,50_论文/02_章节稿/成文/A_13_参考文献.md:43-52,0.25,0.50,【复核轮结论】四项仍无据可补（CNKI 标识 SGXY200902024 不含页码；AMS／出版商页拦截；讲义原件无年份）⟹ 维持“保留＋定稿门禁”裁决，不擅删
P,全题,11,参考文献引用规范,11.6,位置（AI 声明之后、附录之前）,✅,E-E,50_论文/02_章节稿/成文/A_13_参考文献.md:132,0.05,0.10,官方第 3 条
P,全题,12,附录与代码可复现性,12.1,附录 A 清单与随件实体一致,✅,E-E,50_论文/02_章节稿/成文/A_14_附录.md:43-260,0.05,0.10,11 小类逐项
P,全题,12,附录与代码可复现性,12.2,附录 B 源程序完整收录（官方第五条）,❌,E-D,50_论文/04_交排版成图方/交付排版方论文/sections/10_附录.tex:418-484,0.90,1.25,附录仅以 \texttt{} 列出文件名，未嵌入任何代码正文；【复核轮】生成器内为显式开关 EMBED_CODE=False（按要求暂不嵌入），本轮依用户指令未翻转
P,全题,12,附录与代码可复现性,12.3,附录结构无重复/错位,✅,E-D,50_论文/04_交排版成图方/交付排版方论文/sections/10_附录.tex:5,474,635,0.05,0.10,【复核轮已修复】生成器改为把源程序块清单并入附录 B 之内；重编译后附录仅 A／B／C 三节（10_附录.tex:5，474，635）
P,全题,12,附录与代码可复现性,12.4,四个结果文件到位且列契约一致,✅,E-B,40_复核/01_复核记录/A_跨平台复现核验报告.md:41-46,0.05,0.10,result1–4 结构与行列一致
P,全题,12,附录与代码可复现性,12.5,跨平台一键复现成功率,⚠️,E-D,40_复核/01_复核记录/A_跨平台复现核验报告.md:29-32,72-92,0.25,0.50,【复核轮】7 处日志目录依赖已修、待重跑确认；另一项为 q1_consistency_check 的设计内失败（无上一版结果）
P,全题,12,附录与代码可复现性,12.6,run_all.py 纯标准库目录扫描式一键入口,✅,E-D,20_交付包/09_代码与复现/run_all.py,0.05,0.10,交付链路可用（macOS 上调度 85 脚本）
P,全题,12,附录与代码可复现性,12.7,依赖清单声明,✅,E-D,20_交付包/09_代码与复现/requirements.txt,0.05,0.10,与 A_14 附录 A 类别 1.1 第 15 行一致
P,全题,12,附录与代码可复现性,12.8,支撑材料体积与格式合规,✅,E-E,50_论文/02_章节稿/成文/A_14_附录.md:322,0.05,0.10,官方第五/十一条逐项落位
P,全题,13,论文格式与排版规范,13.1,官方红线：摘要 ≤1 页,✅,E-D,50_论文/04_交排版成图方/交付排版方论文/main.aux,0.05,0.10,p1 不跨页
P,全题,13,论文格式与排版规范,13.2,官方红线：正文 ≤30 页,✅,E-D,50_论文/04_交排版成图方/交付排版方论文/main.aux,0.05,0.10,第一章 p2 至参考文献 p31＝30 页，恰在红线内
P,全题,13,论文格式与排版规范,13.3,官方红线：无目录、匿名,✅,E-E,50_论文/04_交排版成图方/交付排版方论文/README_排版交付说明.md:95-98,0.05,0.10,
P,全题,13,论文格式与排版规范,13.4,三线表、表题在上、图题在下,✅,E-E,50_论文/04_交排版成图方/交付排版方论文/README_排版交付说明.md:95,0.05,0.10,booktabs、全篇无竖线
P,全题,13,论文格式与排版规范,13.5,图内不画标题编号、图内元素全中文,⚠️,E-C,30_图表/05_交付清单/图表残留问题-针对论文版.md:29-35,0.25,0.50,【复核轮实测】正文 15 个图件中：图09 已清；图01／图48 用思源宋体（字体族不一致）；图17 含 TR/CR、图29 含 CR、图45 含 TR；待绘图方换图后重编译
P,全题,13,论文格式与排版规范,13.6,图表编号口径（登记 ↔ 渲染）,✅,E-D,50_论文/04_交排版成图方/交付排版方论文/main.aux,0.05,0.10,【复核轮已消解】经查正文引用一律走 \ref、tex 内无任何硬编码图号；README 已加“内部标签键 ↔ 呈现号”口径说明
P,全题,13,论文格式与排版规范,13.7,表号口径（章节稿 ↔ 呈现）,✅,E-E,50_论文/02_章节稿/成文/A_07_符号说明.md:40; 50_论文/04_交排版成图方/交付排版方论文/main.aux,0.05,0.10,【复核轮已消解】“表 0-1”系内部标签键、呈现为表 4-1（README 已声明口径）；页数记录改为生成器**自动读取编译实测值**（现全文 57 页／正文 30 页）
P,全题,13,论文格式与排版规范,13.8,字体/字号/行距终稿,◻,—,—,0.00,0.00,外部依赖：待排版方定稿（官方第八条不作统一要求）
P,全题,13,论文格式与排版规范,13.9,页数与版面终稿,◻,—,—,0.00,0.00,外部依赖：待排版方定稿
P,全题,13,论文格式与排版规范,13.10,成品排版回收与验收,◻,—,—,0.00,0.00,外部依赖：待排版方回稿后按回收清单 8 项核
P,全题,14,选题策略与赛题理解,14.1,四问全部作答且对应,✅,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:90-454,0.05,0.10,5.1–5.4 齐备
P,全题,14,选题策略与赛题理解,14.2,无理解偏差（单位/几何/判据）,✅,E-A,20_交付包/05_数值口径总表/A_数值口径总表.md:160-173,0.05,0.10,判据严格小于等已裁定
P,全题,14,选题策略与赛题理解,14.3,口径裁定留痕（语义基线/口径表）,✅,E-E,20_交付包/05_数值口径总表/A_数值口径总表.md:158-173,0.05,0.10,N-1…N-5 收口记录
P,全题,14,选题策略与赛题理解,14.4,题型定位（完全自包含型）,✅,E-E,50_论文/02_章节稿/成文/A_11_模型评价与改进.md:49,0.05,0.10,
P,全题,14,选题策略与赛题理解,14.5,选题论证（A 题锁定）,✅,E-E,20_交付包/05_数值口径总表/A_数值口径总表.md:172-174,0.05,0.10,六项量级自洽
P,全题,15,论文合规与原创性检测,15.1,零外部本题解法引用,✅,E-E,20_交付包/07_引用与术语/A_题录表.md:12,0.05,0.10,红线 1 已执行
P,全题,15,论文合规与原创性检测,15.2,AI 声明按官方句式且位置正确,✅,E-E,50_论文/02_章节稿/成文/A_12_AI工具使用声明.md:46,0.05,0.10,第 3 条第（2）式，置于参考文献之前
P,全题,15,论文合规与原创性检测,15.3,AI 工具使用登记四要素齐备,✅,E-E,20_交付包/12_AI工具使用详情/A_AI工具使用登记.json,0.05,0.10,版本 2.0，13 块含工具/环节/目的/提示/采纳核验
P,全题,15,论文合规与原创性检测,15.4,无内部资料与知识库路径泄漏,✅,E-E,50_论文/02_章节稿/成文/A_12_AI工具使用声明.md:34-38,0.05,0.10,0 命中
P,全题,15,论文合规与原创性检测,15.5,匿名与无身份信息,✅,E-E,50_论文/02_章节稿/成文/A_01_题目.md:41,0.05,0.10,0 命中
