层级,问,维度号,维度,检查点号,检查点,判定,证据类型,证据指针,扣分下限,扣分上限,备注
B,Q2,4,模型建立,4.6,时间格式按场分别选取并给理由,✅,E-E,A_08:5.1.3／5.0.2,0.015,0.015,
B,Q2,4,模型建立,4.7,交替推进规避外层非线性迭代（子步量化）,✅,E-E,A_08:5.2.3（子步 1-32 s）,0.015,0.015,
B,Q4,4,模型建立,4.8,移动边界坐标变换（物料坐标固定域）,🏆,E-E,A_08:5.4.1,0.000,0.000,国奖级特征
B,Q4,4,模型建立,4.9,守恒形式能量方程（几何压缩项自动包含）,🏆,E-E,A_08:5.4.2（并解释压缩温升 54.63 ℃）,0.000,0.000,国奖级特征
B,全题,4,模型建立,4.10,式号规范（编号＋交叉引用自洽）,✅,E-E,交付排版方论文/main.aux（19 个编号式）,0.015,0.015,
B,全题,4,模型建立,4.11,四问同构（一个模型×四旋钮）并显式声明,✅,E-E,A_08:5.0,0.015,0.015,
B,全题,4,模型建立,4.12,选型对照表含“选用依据”列,⚠️,E-E,A_08:表 5-1（现为“环节／备选／本文选用”三列，依据并入正文）,0.075,0.075,对照《02_章节稿》表 5-1 含“选用依据与量化对照”列
B,全题,4,模型建立,4.13,量纲与单位一致（℃／kg·kg⁻¹／W·m⁻²·K⁻¹）,✅,E-E,A_07 符号表＋A_08 各式,0.015,0.015,
B,全题,4,模型建立,4.14,关键参数按题面分套给出（附录 2／3／4）,✅,E-E,A_08:5.0.1／表 5-4,0.015,0.015,
B,全题,4,模型建立,4.15,结果表行列照题面模板（表 1–表 6）,✅,E-E,A_08:5.1.5／5.2.4／5.3.4／5.4.4,0.015,0.015,
Q,Q1,5,算法选择与模型求解,5.1,温度场时间方向精确推进（误差归零证据）,🏆,E-D,A_08:5.1.3（1 s 与 60 s 差 3.1×10⁻¹¹ ℃）＋code/q1_exact.py,0.000,0.000,国奖级特征
Q,Q1,5,算法选择与模型求解,5.2,含水率后向欧拉＋追赶法（稳定性论证）,✅,E-D,code/q1_core.py＋A_08:5.1.3（严格对角占优）,0.010,0.010,
Q,Q2,5,算法选择与模型求解,5.3,交替推进＋子步（规避外层迭代）,✅,E-D,code/q2_solver.py／q2_core_c.py,0.010,0.010,
Q,Q2,5,算法选择与模型求解,5.4,性能优化并做数值等价性校验,✅,E-D,code/q2_opt_verify.py（差异 ≤1.8×10⁻¹¹）,0.010,0.010,
Q,Q3,5,算法选择与模型求解,5.5,事件驱动终止＋子步级二分定位,🏆,E-D,code/q3_solver.py（定位 207113.094 s，10⁻³ s 级）,0.000,0.000,国奖级特征
Q,Q3,5,算法选择与模型求解,5.6,判据等价简化（中心恒为最慢点）,✅,E-E,A_02:47／A_08:5.3,0.010,0.010,
Q,Q4,5,算法选择与模型求解,5.7,物料坐标离散（表面恒为节点）,✅,E-D,code/q4_core.py,0.010,0.010,
Q,Q4,5,算法选择与模型求解,5.8,事件驱动＋熔断上界（240 h）,✅,E-D,code/q4_solver.py,0.010,0.010,
Q,全题,5,算法选择与模型求解,5.9,可复现（一键入口＋依赖声明）,✅,E-D,20_交付包/09_代码与复现/run_all.py＋requirements.txt,0.010,0.010,
Q,全题,5,算法选择与模型求解,5.10,计算成本／复杂度交代,⚠️,E-D,A_08（墙钟与性能仅零星出现，未集中交代）,0.052,0.052,
B,全题,6,结果分析与数据可视化,6.1,四问结果完整（题面表 1–表 6 全给）,🏆,E-B,A_08:5.1.5–5.4.4＋results/result1–4.xlsx,0.000,0.000,国奖级特征
B,全题,6,结果分析与数据可视化,6.2,关键数值具体（时间／温度／含水率／半径）,✅,E-A,A_09_结果分析.md 四问端点对照表,0.015,0.015,
B,全题,6,结果分析与数据可视化,6.3,分析有深度（机理／时间尺度／自我减速）,✅,E-E,A_09:机理链（扩散系数骤减→后期自我减速→时长由低含水率段决定）,0.015,0.015,
B,全题,6,结果分析与数据可视化,6.4,跨问一致性（重叠段逐位一致＋退化一致）,🏆,E-E,A_09:跨问一致性三条（逐位一致／退化 3.7×10⁻⁸／交接差异属模型必然）,0.000,0.000,国奖级特征
B,全题,6,结果分析与数据可视化,6.5,图表编号／题注规范（章-序、题注位置）,✅,E-E,交付排版方论文/sections/05_模型建立与求解.tex（表 5-1…5-10 统一章-序）,0.015,0.015,
B,全题,6,结果分析与数据可视化,6.6,每图每表有引用句＋解释句,✅,E-C,30_图表/05_交付清单/＋A_08 逐图逐表解释句,0.015,0.015,
B,全题,6,结果分析与数据可视化,6.7,图内文字全中文,⚠️,E-C,30_图表/05_交付清单/图表残留问题-针对论文版.md（6 张含英文代号 F-01／F-13／F-19／F-33／F-38／F-49）,0.075,0.075,P0 催办中；属绘图方事项
B,全题,6,结果分析与数据可视化,6.8,有效数字与单位口径统一（四位小数）,✅,E-B,results/result*.xlsx（四位小数）＋A_14 附录 A 登记,0.015,0.015,
B,全题,6,结果分析与数据可视化,6.9,无派生裸数（派生量写“可由表 N 复算”）,✅,E-A,A_08 各结论段,0.015,0.015,
B,全题,6,结果分析与数据可视化,6.10,结果可靠边界（误差带＋外推区间＋两类不确定度）,🏆,E-E,A_09:表“结果的可靠边界”（±0.08 h／±0.0249 h／43–66%／16.8–55.1%／潜热 0.07–0.10 ℃）,0.000,0.000,国奖级特征
B,全题,7,模型检验与灵敏度分析,7.1,检验独立成章且类别 ≥3（实测 11 节）,🏆,E-E,A_10_模型检验.md（6.1–6.11 共 11 节）,0.000,0.000,国奖级特征
B,全题,7,模型检验与灵敏度分析,7.2,网格与时间收敛性＋离散误差带,✅,E-D,A_10:6.1＋code/q1_e1_gci.py／q3_w2_convergence.py／q4_w6_e15.py,0.015,0.015,
B,全题,7,模型检验与灵敏度分析,7.3,与解析解对拍（圆柱级数解）,🏆,E-D,A_10:6.2＋code/q1_e2_series.py／q2_e2_frozen.py,0.000,0.000,国奖级特征
B,全题,7,模型检验与灵敏度分析,7.4,第二套独立实现互验,🏆,E-D,A_10:6.3＋code/q1_e3_explicit.py／q4_core_fixed.py,0.000,0.000,国奖级特征
B,全题,7,模型检验与灵敏度分析,7.5,物理自检／看门狗（含注错演示）,🏆,E-D,A_10:6.4＋code/q1_e4_watchdog.py（13 项断言＋注错被捕获）,0.000,0.000,国奖级特征
B,全题,7,模型检验与灵敏度分析,7.6,守恒核算（质量／能量区域积分闭合）,🏆,E-D,A_10:6.5＋code/q1_conservation.py／q2_checks.py／q3_conservation.py／q4_w6_e78b.py,0.000,0.000,国奖级特征
B,全题,7,模型检验与灵敏度分析,7.7,单因素灵敏度（多参数扰动＋龙卷风图）,✅,E-D,A_10:6.6＋code/q1_e5_sensitivity.py 等,0.015,0.015,
B,全题,7,模型检验与灵敏度分析,7.8,全局灵敏度（筛选法＋方差分解两族）,🏆,E-D,A_10:6.7＋code/q2_e5b_global.py／q4_INV6_sobol.py（首因子 0.337）,0.000,0.000,国奖级特征
B,全题,7,模型检验与灵敏度分析,7.9,数据预处理对照（平滑／不平滑）,✅,E-D,A_10:6.8＋code/q1_e6_smooth.py,0.015,0.015,
B,全题,7,模型检验与灵敏度分析,7.10,简化代价对照（潜热）,✅,E-D,A_10:6.9＋code/q2_e8_latent.py（0.07–0.10 ℃）,0.015,0.015,
B,全题,7,模型检验与灵敏度分析,7.11,输入不确定度传播／数据同化（第二条独立路线）,✅,E-D,A_10:6.11＋code/innov/q1_inv_T2_uq.py／q1_inv_T2_da.py,0.015,0.015,
B,全题,7,模型检验与灵敏度分析,7.12,两类不确定度分列、不得相加,✅,E-E,A_10:6.1／A_09 注（合成口径取较大者）,0.015,0.015,
P,全题,8,模型评价与优缺点分析,8.1,优点带数据支撑,✅,E-E,A_11_模型评价与改进.md,0.007,0.007,
P,全题,8,模型评价与优缺点分析,8.2,不足诚实且有改进方向,✅,E-E,A_11,0.007,0.007,
P,全题,8,模型评价与优缺点分析,8.3,改进项给效果量化,✅,E-E,A_11＋A_02:53,0.007,0.007,
P,全题,8,模型评价与优缺点分析,8.4,推广性／可迁移声明,✅,E-E,A_11,0.007,0.007,
P,全题,8,模型评价与优缺点分析,8.5,结论适用边界（受检结论的边界）,✅,E-E,A_09 可靠边界＋A_11,0.007,0.007,
P,全题,8,模型评价与优缺点分析,8.6,与检验结论互相呼应,✅,E-E,A_11 ↔ A_10,0.007,0.007,
P,全题,8,模型评价与优缺点分析,8.7,无绝对化／过度声明表述,✅,E-E,A_11（全篇无“国一水平”类表述）,0.007,0.007,
P,全题,8,模型评价与优缺点分析,8.8,未做多模型融合的定位声明,✅,E-E,A_02:53／A_11,0.007,0.007,
Q,全题,9,创新点打造与差异化,9.1,改进项成清单、可编号检索,✅,E-E,20_交付包/09_代码与复现/A_代码复现.md＋各问改进项登记,0.015,0.015,
Q,全题,9,创新点打造与差异化,9.2,功效量化（误差归零／成本下降／精度提升）,🏆,E-D,code/innov/q1_inv_T3.py（误差归零）／q2_e9_adaptive.py（47.6→9.9 s）,0.000,0.000,国奖级特征
Q,全题,9,创新点打造与差异化,9.3,真创新非伪创新（非堆砌高级模型）,🏆,E-E,A_11:未采用多模型融合的定位＋改进集中于数值格式,0.000,0.000,适配优先
Q,全题,9,创新点打造与差异化,9.4,问题特化策略（散度形式／积分平均／物料坐标）,🏆,E-E,A_08:式(5-1)、5.2.3、5.4.1,0.000,0.000,国奖级特征
Q,全题,9,创新点打造与差异化,9.5,数值格式改进（精确推进／交替推进／事件二分）,🏆,E-D,A_08:5.1.3／5.2.3／5.3.3,0.000,0.000,国奖级特征
Q,Q4,9,创新点打造与差异化,9.6,移动边界处理创新（物料坐标＋守恒形式）,🏆,E-E,A_08:5.4.1–5.4.2,0.000,0.000,国奖级特征
Q,Q3,9,创新点打造与差异化,9.7,反演机制（严格不等号＋二分定位）,✅,E-D,code/q3_solver.py,0.015,0.015,
Q,全题,9,创新点打造与差异化,9.8,守恒律双保险（守恒核算＋绝热不变量）,✅,E-D,A_10:6.4–6.5,0.015,0.015,
Q,全题,9,创新点打造与差异化,9.9,表述用“改进”而非“创新”,✅,E-E,全篇用词实测,0.015,0.015,
Q,全题,9,创新点打造与差异化,9.10,可迁移性（不依赖本题参数）,✅,E-E,A_02:53,0.015,0.015,
B,全题,10,数据预处理与特征工程,10.1,附件数据核验（点数／间隔／单调）,✅,E-D,code/dq_check.py（241 点／60 s；145 点／1800 s）,0.007,0.007,
B,全题,10,数据预处理与特征工程,10.2,缺失／异常检查（0 缺失／0 越界）,✅,E-D,code/dq_check.py 日志,0.007,0.007,
B,全题,10,数据预处理与特征工程,10.3,外推口径显式声明,✅,E-E,A_05／A_06（恒温段按末段稳定值外推）,0.007,0.007,
B,全题,10,数据预处理与特征工程,10.4,预处理方式对照（平滑／不平滑）,✅,E-D,A_10:6.8,0.007,0.007,
B,全题,10,数据预处理与特征工程,10.5,单位／量纲核对,✅,E-E,A_04 表 1-1（输出契约含计时单位）,0.007,0.007,
B,全题,10,数据预处理与特征工程,10.6,数据质量量化（波动／σ）,✅,E-A,口径表（环境温度 σ＝0.1561 ℃）,0.007,0.007,
B,全题,10,数据预处理与特征工程,10.7,数据与模型接口（插值方式）,✅,E-E,A_08:5.1.3（分段线性杜哈梅尔）,0.007,0.007,
B,全题,10,数据预处理与特征工程,10.8,附件 2 半径数据处理（145 点、仿射收缩）,✅,E-E,A_06:62／A_08:5.4,0.007,0.007,
P,全题,11,参考文献引用规范,11.1,条数 18（10–20）,✅,E-E,A_13_参考文献.md（实测 18 条）,0.010,0.010,
P,全题,11,参考文献引用规范,11.2,格式 GB/T 7714（thebibliography 统一）,✅,E-E,交付排版方论文/sections/09_参考文献.tex,0.010,0.010,
P,全题,11,参考文献引用规范,11.3,文内引用与文后列表一一对应,✅,E-E,A_13＋正文 \cite 上标,0.010,0.010,
P,全题,11,参考文献引用规范,11.4,无虚构文献（题录表逐条可溯源）,✅,E-E,20_交付包/07_引用与术语/A_题录表.md,0.010,0.010,
P,全题,11,参考文献引用规范,11.5,文献与本文方法／领域相关,✅,E-E,A_13 主题分布,0.010,0.010,
P,全题,11,参考文献引用规范,11.6,辅助字段完整（卷期／页码／标识）,⚠️,E-E,[3][5][8][18] 辅助字段无据可补（讲义原件无年份；CNKI 标识不含页码）,0.050,0.050,已登记为受阻项
P,全题,12,附录与代码可复现性,12.1,支撑材料文件列表与实体逐项一致,✅,E-E,A_14 附录 A（14 小类、158 编号项）与 20_交付包/11_支撑材料包 实体同步,0.006,0.006,
P,全题,12,附录与代码可复现性,12.2,附录收录源程序正文,⚠️,E-E,A_14 附录 B（只嵌入关键程序 B.1–B.7 正文；B.8–B.13 列清单，全文随支撑材料）,0.028,0.028,官方第五条要求全部完整源程序；口径经用户裁定，留有扩至 B.12 的开关
P,全题,12,附录与代码可复现性,12.3,代码可运行＋依赖声明,✅,E-D,run_all.py＋requirements.txt＋A_代码复现.md,0.006,0.006,
P,全题,12,附录与代码可复现性,12.4,附录 C 关键中间结果索引,✅,E-E,A_14 附录 C（C.1–C.7）,0.006,0.006,
P,全题,12,附录与代码可复现性,12.5,结果文件与清单一致（4 个 xlsx）,✅,E-B,results/result1–4.xlsx（＋result4_data.csv／table6.csv）,0.006,0.006,
P,全题,12,附录与代码可复现性,12.6,支撑材料 ≤20 MB,⚠️,E-E,20_交付包 实测 23.39 MB（04_图表包 12.62＋09_代码与复现 9.97）；按《交付标准》排除已进论文成品图后约 18.6 MB（余量 ≈1.4 MB）；其中 q4_w6_e5_stderr.txt 单件 4.42 MB 属冗余留证,0.028,0.028,打包时须复核
P,全题,12,附录与代码可复现性,12.7,附录长表续页规范（重复表头／（续）标注）,✅,E-E,sections/10_附录.tex（longtable 自动续表头）,0.006,0.006,
P,全题,12,附录与代码可复现性,12.8,代码一致性声明（同版本＋结果逐格一致）,✅,E-E,A_14 附录 B 代码一致性声明,0.006,0.006,
P,全题,13,论文格式与排版规范,13.1,摘要专用页（≤1 页、含标题与关键词）,✅,E-E,frontmatter/00_摘要页.tex,0.003,0.003,
P,全题,13,论文格式与排版规范,13.2,不设目录（官方未要求、省版面）,✅,E-E,main.tex 结构,0.003,0.003,
P,全题,13,论文格式与排版规范,13.3,页码规范、无多余页眉页脚,✅,E-E,ctexart 默认＋geometry,0.003,0.003,
P,全题,13,论文格式与排版规范,13.4,三线表（无竖线）,✅,E-E,booktabs＋sections/*.tex,0.003,0.003,
P,全题,13,论文格式与排版规范,13.5,图题在下、表题在上,✅,E-E,fig_block／table_block 生成器保证,0.003,0.003,
P,全题,13,论文格式与排版规范,13.6,表编号统一（章-序，无两套并存）,✅,E-E,main.aux（表 1-1／2-1／4-1／5-1…5-10）,0.003,0.003,本轮修复
P,全题,13,论文格式与排版规范,13.7,图编号统一且并置图各自留号,✅,E-E,main.aux（图 5-1…5-9；图 5-2／5-3 并置）,0.003,0.003,本轮修复
P,全题,13,论文格式与排版规范,13.8,字号／行距／页边距（官方不作统一要求）,✅,E-E,preamble.tex（12 pt／linespread 1.06／2.5 cm）,0.003,0.003,
P,全题,13,论文格式与排版规范,13.9,匿名（无校名／姓名／赛区）,✅,E-E,全文检索 0 命中,0.003,0.003,
P,全题,13,论文格式与排版规范,13.10,正文页数 ≤30（实测 28）,✅,E-E,交付排版方论文/main.log（全文 157 页、正文 28 页）,0.003,0.003,
P,全题,14,选题策略与赛题理解,14.1,四问逐条完整回答,✅,E-E,A_08:5.1–5.4,0.006,0.006,
P,全题,14,选题策略与赛题理解,14.2,无理解偏差（判据严格小于／单位口径）,✅,E-E,A_04:59-61,0.006,0.006,
P,全题,14,选题策略与赛题理解,14.3,关键口径裁定留痕,✅,E-E,20_交付包/05_数值口径总表＋20_交付包/00_交付标准.md,0.006,0.006,
P,全题,14,选题策略与赛题理解,14.4,题型识别正确（机理型 A 题）,✅,E-E,A_04／A_05,0.006,0.006,
P,全题,14,选题策略与赛题理解,14.5,题面交付物落位（表 1–6、结束行、结果文件）,✅,E-E,A_09:与题面交付物的对应表,0.006,0.006,
P,全题,15,论文合规与原创性检测,15.1,零外部本题引用（无第三方解法／数据）,✅,E-E,A_02:51（声明对照均为自建）,0.005,0.005,
P,全题,15,论文合规与原创性检测,15.2,AI 使用声明措辞合规并置于参考文献前,✅,E-E,A_12_AI工具使用声明.md,0.005,0.005,
P,全题,15,论文合规与原创性检测,15.3,AI 声明与登记一致,✅,E-E,20_交付包/12_AI工具使用详情/A_AI工具使用登记.json,0.005,0.005,
P,全题,15,论文合规与原创性检测,15.4,无身份／赛区／学校信息,✅,E-E,全文检索 0 命中,0.005,0.005,
P,全题,15,论文合规与原创性检测,15.5,查重风险控制（重述自拟措辞）,✅,E-E,A_04:75（连续 8 字重合 ≤1 处）,0.005,0.005,
P,全题,15,论文合规与原创性检测,15.6,kb／内部资料不外发（隔离纪律）,✅,E-E,kb/README.md §七；交付包无 kb 路径,0.005,0.005,
P,全题,16,整体印象与获奖潜力,16.1,工作量（四问＋125 脚本＋11 类检验）,🏆,E-D,20_交付包/09_代码与复现（125 个 .py＋四问结果文件）,0.000,0.000,国奖级特征
P,全题,16,整体印象与获奖潜力,16.2,逻辑闭环（一个模型×四旋钮）,✅,E-E,A_08:5.0／A_05,0.004,0.004,
P,全题,16,整体印象与获奖潜力,16.3,亮点可记忆（精确推进／物料坐标／压缩温升）,🏆,E-E,A_02:53／A_08:5.4,0.000,0.000,国奖级特征
P,全题,16,整体印象与获奖潜力,16.4,诚实性承载（不确定度与先验声明）,🏆,E-E,A_09 可靠边界／A_10:6.10–6.11,0.000,0.000,国奖级特征
P,全题,16,整体印象与获奖潜力,16.5,专业术语准确、无口语化,✅,E-E,全篇术语对照（题录表 §五）,0.004,0.004,
P,全题,16,整体印象与获奖潜力,16.6,结果可信度（多路独立验证）,✅,E-E,A_10（11 类检验）,0.004,0.004,
P,全题,16,整体印象与获奖潜力,16.7,正文图表件数（14 图＋13 表＝27 件）,⚠️,E-E,超 kb 建议区间 15–25 件（含题面强制 6 表）,0.019,0.019,内容取舍项
P,全题,16,整体印象与获奖潜力,16.8,结论可在一处把握（对照／讨论节）,✅,E-E,A_09（5.5 四问横向对照与讨论）,0.004,0.004,
